timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718987409192,625,HTTP Request,200,OK,Thread Group 180 1-1,text,true,,1712,12488,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,625,0,104
1718987409525,681,HTTP Request,200,OK,Thread Group 180 1-2,text,true,,1712,12946,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,681,0,140
1718987409858,630,HTTP Request,200,OK,Thread Group 180 1-3,text,true,,1708,15376,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,630,0,131
1718987410191,628,HTTP Request,200,OK,Thread Group 180 1-4,text,true,,1708,12653,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,628,0,126
1718987410526,645,HTTP Request,200,OK,Thread Group 180 1-5,text,true,,1708,13805,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,645,0,132
1718987410858,633,HTTP Request,200,OK,Thread Group 180 1-6,text,true,,1708,13443,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,633,0,126
1718987411190,666,HTTP Request,200,OK,Thread Group 180 1-7,text,true,,1708,13576,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,666,0,150
1718987411523,787,HTTP Request,200,OK,Thread Group 180 1-8,text,true,,1712,13508,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,787,0,157
1718987411856,721,HTTP Request,200,OK,Thread Group 180 1-9,text,true,,1708,16311,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,720,0,177
1718987412188,714,HTTP Request,200,OK,Thread Group 180 1-10,text,true,,1708,13723,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,714,0,212
1718987412522,647,HTTP Request,200,OK,Thread Group 180 1-11,text,true,,1708,13075,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,647,0,128
1718987412854,677,HTTP Request,200,OK,Thread Group 180 1-12,text,true,,1708,16388,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,677,0,128
1718987413187,678,HTTP Request,200,OK,Thread Group 180 1-13,text,true,,1708,14573,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,678,0,140
1718987413519,652,HTTP Request,200,OK,Thread Group 180 1-14,text,true,,1708,15322,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,652,0,130
1718987413854,627,HTTP Request,200,OK,Thread Group 180 1-15,text,true,,1708,13178,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,627,0,128
1718987414187,623,HTTP Request,200,OK,Thread Group 180 1-16,text,true,,1708,13717,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,623,0,117
1718987414519,663,HTTP Request,200,OK,Thread Group 180 1-17,text,true,,1708,16602,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,663,0,137
1718987414851,648,HTTP Request,200,OK,Thread Group 180 1-18,text,true,,1708,17055,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,648,0,131
1718987415186,620,HTTP Request,200,OK,Thread Group 180 1-19,text,true,,1708,14064,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,620,0,111
1718987415518,634,HTTP Request,200,OK,Thread Group 180 1-20,text,true,,1708,15716,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,634,0,120
1718987415851,820,HTTP Request,200,OK,Thread Group 180 1-21,text,true,,1708,14772,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,820,0,134
1718987416184,705,HTTP Request,200,OK,Thread Group 180 1-22,text,true,,1708,15646,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,705,0,128
1718987416517,614,HTTP Request,200,OK,Thread Group 180 1-23,text,true,,1708,11816,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,614,0,104
1718987416851,658,HTTP Request,200,OK,Thread Group 180 1-24,text,true,,1708,13743,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,657,0,126
1718987417184,675,HTTP Request,200,OK,Thread Group 180 1-25,text,true,,1708,17263,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,675,0,152
1718987417517,629,HTTP Request,200,OK,Thread Group 180 1-26,text,true,,1708,14395,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,629,0,122
1718987417850,624,HTTP Request,200,OK,Thread Group 180 1-27,text,true,,1708,8902,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,624,0,131
1718987418182,666,HTTP Request,200,OK,Thread Group 180 1-28,text,true,,1708,16898,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,666,0,117
1718987418515,649,HTTP Request,200,OK,Thread Group 180 1-29,text,true,,1708,17233,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,649,0,142
1718987418848,638,HTTP Request,200,OK,Thread Group 180 1-30,text,true,,1708,15903,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,638,0,132
1718987419181,643,HTTP Request,200,OK,Thread Group 180 1-31,text,true,,1712,12400,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,643,0,134
1718987419515,589,HTTP Request,200,OK,Thread Group 180 1-32,text,true,,1708,8458,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,589,0,111
1718987419847,618,HTTP Request,200,OK,Thread Group 180 1-33,text,true,,1708,15583,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,617,0,106
1718987420180,625,HTTP Request,200,OK,Thread Group 180 1-34,text,true,,1712,14211,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,625,0,115
1718987420513,781,HTTP Request,200,OK,Thread Group 180 1-35,text,true,,1708,14093,3,3,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,781,0,122
1718987420846,613,HTTP Request,200,OK,Thread Group 180 1-36,text,true,,1712,15775,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,613,0,108
1718987421180,638,HTTP Request,200,OK,Thread Group 180 1-37,text,true,,1708,17302,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,638,0,118
1718987421512,627,HTTP Request,200,OK,Thread Group 180 1-38,text,true,,1708,12794,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,627,0,119
1718987421846,633,HTTP Request,200,OK,Thread Group 180 1-39,text,true,,1708,13033,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,633,0,129
1718987422178,627,HTTP Request,200,OK,Thread Group 180 1-40,text,true,,1712,12155,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,627,0,115
1718987422512,623,HTTP Request,200,OK,Thread Group 180 1-41,text,true,,1708,12343,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,623,0,121
1718987422844,588,HTTP Request,200,OK,Thread Group 180 1-42,text,true,,1708,14155,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,588,0,95
1718987423178,612,HTTP Request,200,OK,Thread Group 180 1-43,text,true,,1708,13513,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,612,0,121
1718987423512,638,HTTP Request,200,OK,Thread Group 180 1-44,text,true,,1708,14447,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,638,0,100
1718987423845,585,HTTP Request,200,OK,Thread Group 180 1-45,text,true,,1708,12631,2,2,https://skripsi-dlib-psp6a4cyiq-et.a.run.app/upload,585,0,92
